<Apocalypse:bucketHelm>, 桶头盔
<customnpcs:npcTable>, 木质桌子
<customnpcs:npcTablet>, 碑
<customnpcs:npcTacticalChest>, 军用防弹衣
<customnpcs:npcTacticalHead>, 军用头盔
<customnpcs:npcTallLamp>, 立灯
<customnpcs:npcTeleporter>, 传送魔杖
<customnpcs:npcTombstone>, 墓碑
<customnpcs:npcTowerShield>, 尖钢盾
<customnpcs:npcTuxedoBottom>, 燕尾服外套
<customnpcs:npcTuxedoChest>, 燕尾服衬衫
<customnpcs:npcTuxedoPants>, 燕尾服长裤
<customnpcs:npcUsbStick>, USB-Stick
<customnpcs:npcViolin>, 小提琴
<customnpcs:npcViolinBow>, 提琴弓
<customnpcs:npcWallBanner>, 壁挂旗帜
<customnpcs:npcWand>, Npc 魔杖
<customnpcs:npcWaterElement>, 水之元素
<customnpcs:npcWaypoint>, 定点块
<customnpcs:npcWeaponRack>, 武器架
<customnpcs:npcWizardChest>, 巫师长袍
<customnpcs:npcWizardHead>, 巫师兜帽
<customnpcs:npcWizardPants>, 巫师护腿
<customnpcs:npcWoodenBattleAxe>, 木制战斧
<customnpcs:npcWoodenBroadsword>, 木质阔剑item.npcStoneBroadsword.name=石质阔剑item.npcIronBroadsword.name=铁质阔剑item.npcGoldenBroadsword.name=金质阔剑item.npcDiamondBroadsword.name=钻石阔剑item.npcBronzeBroadsword.name=青铜阔剑
<customnpcs:npcWoodenBullet>, 木质子弹
<customnpcs:npcWoodenDagger>, 木质匕首
<customnpcs:npcWoodenGlaive>, 木制月刃
<customnpcs:npcWoodenGun>, 木制手枪
<customnpcs:npcWoodenHalberd>, 木质战戟
<customnpcs:npcWoodenMace>, 木制钉头锤
<customnpcs:npcWoodenReversedDagger>, 反手木质匕首
<customnpcs:npcWoodenScythe>, 木制战镰
<customnpcs:npcWoodenShield>, 木质圆盾
<customnpcs:npcWoodenSpear>, 木制战矛
<customnpcs:npcWoodenStaff>, 木质法杖
<customnpcs:npcWoodenTrident>, 木质三叉戟
<customnpcs:npcWoodenWarhammer>, 木制战锤
<customnpcs:npcWrench>, 扳手
<customnpcs:npcX407Boots>, X407 原型战靴
<customnpcs:npcX407Chest>, X407 原型钢甲
<customnpcs:npcX407Head>, X407 原型钢盔
<customnpcs:npcX407Legs>, X407 原型护腿
<ezwastelands:ezwastelandblock>, 荒土
<flashlight:flashlight>, 手电筒
<flashlight:light_source>, tile.light_source.name
<hbm:item.ajr_boots>, AJR 动力装甲靴子
<hbm:item.ajr_helmet>, AJR 动力装甲头盔
<hbm:item.ajr_legs>, AJR 动力装甲护腿
<hbm:item.ajr_plate>, AJR 动力装甲胸甲
<hbm:item.ajro_boots>, AJR动力装甲靴子
<hbm:item.ajro_helmet>, AJR 动力装甲头盔
<hbm:item.ajro_legs>, AJR 动力装甲护腿
<hbm:item.ajro_plate>, AJR 动力装甲胸甲
<hbm:item.alloy_axe>, 高级合金斧
<hbm:item.alloy_boots>, 高级合金靴子
<hbm:item.alloy_helmet>, 高级合金头盔
<hbm:item.alloy_hoe>, 高级合金锄
<hbm:item.alloy_legs>, 高级合金护腿
<hbm:item.alloy_pickaxe>, 高级合金镐
<hbm:item.alloy_plate>, 高级合金胸甲
<hbm:item.alloy_shovel>, 高级合金锹
<hbm:item.alloy_sword>, 高级合金剑
<hbm:item.ammo_12gauge>, 12号鹿弹
<hbm:item.ammo_12gauge_du>, 12号鹿弹[铀涂层]
<hbm:item.ammo_12gauge_incendiary>, 12号鹿弹[燃烧]
<hbm:item.ammo_12gauge_marauder>, 12号战术反掠夺鹿弹
<hbm:item.ammo_12gauge_shrapnel>, 12号鹿弹[榴霰弹]
<hbm:item.ammo_12gauge_sleek>, 12号鹿弹[IF-R&D]
<hbm:item.ammo_20gauge>, 20号鹿弹
<hbm:item.ammo_20gauge_caustic>, 20号鹿弹[腐蚀]
<hbm:item.ammo_20gauge_explosive>, 20号鹿弹[高爆]
<hbm:item.ammo_20gauge_flechette>, 20号箭霰弹
<hbm:item.ammo_20gauge_incendiary>, 20号鹿弹[燃烧]
<hbm:item.ammo_20gauge_shock>, 20号鹿弹[震荡]
<hbm:item.ammo_20gauge_shrapnel>, 20号鹿弹[榴霰弹]
<hbm:item.ammo_20gauge_sleek>, 20号鹿弹[IF-R&D]
<hbm:item.ammo_20gauge_slug>, 20号独头弹
<hbm:item.ammo_20gauge_wither>, 20号鹿弹[凋零]
<hbm:item.ammo_22lr>, .22LR子弹
<hbm:item.ammo_22lr_ap>, .22LR子弹[AP]
<hbm:item.ammo_22lr_chlorophyte>, .22LR子弹[叶绿]
<hbm:item.ammo_357_desh>, .357马格南Desh子弹
<hbm:item.ammo_44>, .44马格南子弹
<hbm:item.ammo_44_ap>, .44马格南子弹[AP]
<hbm:item.ammo_44_bj>, .44马格南子弹[船]
<hbm:item.ammo_44_chlorophyte>, .44马格南子弹[叶绿]
<hbm:item.ammo_44_du>, .44马格南子弹[贫铀]
<hbm:item.ammo_44_phosphorus>, .44马格南子弹[白磷]
<hbm:item.ammo_44_pip>, .44马格南子弹[车厢]
<hbm:item.ammo_44_rocket>, .44马格南火箭
<hbm:item.ammo_44_silver>, .44马格南子弹[建筑]
<hbm:item.ammo_44_star>, .44马格南子弹[星辉]
<hbm:item.ammo_4gauge>, 四号鹿弹
<hbm:item.ammo_4gauge_balefire>, 23mm野火榴弹
<hbm:item.ammo_4gauge_canister>, 23mm 火箭弹[榴霰弹]
<hbm:item.ammo_4gauge_claw>, 4号爪弹
<hbm:item.ammo_4gauge_explosive>, 23mm榴弹
<hbm:item.ammo_4gauge_flechette>, 4号箭霰弹
<hbm:item.ammo_4gauge_flechette_phosphorus>, 4号箭霰弹[白磷]
<hbm:item.ammo_4gauge_kampf>, 23mm火箭弹
<hbm:item.ammo_4gauge_semtex>, 23mm采矿弹药
<hbm:item.ammo_4gauge_sleek>, 4号鹿弹[IF-R&D]
<hbm:item.ammo_4gauge_slug>, 四号实心独头弹
<hbm:item.ammo_4gauge_titan>, 4号Quacker鹿弹
<hbm:item.ammo_4gauge_vampire>, 4号木签弹
<hbm:item.ammo_4gauge_void>, 4号电离粒子弹
<hbm:item.ammo_50ae>, .50AE子弹
<hbm:item.ammo_50ae_ap>, .50AE子弹[AP]
<hbm:item.ammo_50ae_chlorophyte>, .50AE子弹[叶绿]
<hbm:item.ammo_50ae_du>, .50AE子弹[贫铀]
<hbm:item.ammo_50ae_star>, .50AE子弹[星辉]
<hbm:item.ammo_50bmg>, .50BMG子弹
<hbm:item.ammo_50bmg_ap>, .50BMG子弹[AP]
<hbm:item.ammo_50bmg_chlorophyte>, .50BMG子弹[叶绿]
<hbm:item.ammo_50bmg_du>, .50BMG子弹[贫铀]
<hbm:item.ammo_50bmg_explosive>, .50BMG子弹[高爆]
<hbm:item.ammo_50bmg_flechette>, .50 BMG镖形弹
<hbm:item.ammo_50bmg_flechette_am>, .50 BMG镖形弹[含镅]
<hbm:item.ammo_50bmg_flechette_po>, .50 BMG镖形弹[含钋]
<hbm:item.ammo_50bmg_incendiary>, .50BMG子弹[燃烧]
<hbm:item.ammo_50bmg_phosphorus>, .50BMG子弹[白磷]
<hbm:item.ammo_50bmg_sleek>, .50BMG子弹[IF-R&D]
<hbm:item.ammo_50bmg_star>, .50BMG子弹[星辉]
<hbm:item.ammo_556>, 5.56mm子弹
<hbm:item.ammo_556_ap>, 5.56mm子弹[AP]
<hbm:item.ammo_556_chlorophyte>, 5.56mm子弹[叶绿]
<hbm:item.ammo_556_du>, 5.56mm子弹[贫铀]
<hbm:item.ammo_556_flechette>, 5.56mm弗莱彻子弹
<hbm:item.ammo_556_flechette_chlorophyte>, 5.56mm弗莱彻子弹[叶绿]
<hbm:item.ammo_556_flechette_du>, 5.56mm弗莱彻子弹 [贫铀穿甲]
<hbm:item.ammo_556_flechette_incendiary>, 5.56mm弗莱彻子弹 [燃烧]
<hbm:item.ammo_556_flechette_phosphorus>, 5.56mm弗莱彻子弹 [白磷穿甲]
<hbm:item.ammo_556_flechette_sleek>, 5.56mm弗莱彻子弹[IF-R&D]
<hbm:item.ammo_556_k>, 5.56mm空包弹
<hbm:item.ammo_556_phosphorus>, 5.56mm子弹[白磷]
<hbm:item.ammo_556_sleek>, 5.56mm子弹[IF-R&D]
<hbm:item.ammo_556_star>, 5.56mm子弹 [星辉]
<hbm:item.ammo_556_tracer>, 5.56mm 子弹[曳光弹]
<hbm:item.ammo_5mm>, 5mm子弹
<hbm:item.ammo_5mm_chlorophyte>, 5mm子弹[叶绿]
<hbm:item.ammo_5mm_du>, 5mm子弹[贫铀]
<hbm:item.ammo_5mm_explosive>, 5mm子弹[高爆]
<hbm:item.ammo_5mm_star>, 5mm子弹[星辉]
<hbm:item.ammo_75bolt>, .75弹匣(30发)
<hbm:item.ammo_75bolt_he>, .75高爆弹匣(30发)
<hbm:item.ammo_75bolt_incendiary>, .75燃烧弹匣(30发)
<hbm:item.ammo_9mm>, 9mm子弹
<hbm:item.ammo_9mm_ap>, 9mm子弹[AP]
<hbm:item.ammo_9mm_chlorophyte>, 9mm子弹[叶绿]
<hbm:item.ammo_9mm_du>, 9mm子弹[贫铀]
<hbm:item.ammo_9mm_rocket>, 9mm火箭弹
<hbm:item.ammo_arty>, 16英寸炮弹
<hbm:item.ammo_cell>, 能量单元
<hbm:item.ammo_container>, 万能弹药盒
<hbm:item.ammo_dart>, 塑料镖（凋零）
<hbm:item.ammo_dart_nerf>, NERF 飞镖
<hbm:item.ammo_dart_nuclear>, 塑料镖（定时炸药）
<hbm:item.ammo_dgk>, 双联守门员近防系统200发弹药
<hbm:item.ammo_fireext>, 灭火器 水罐
<hbm:item.ammo_fireext_foam>, 灭火器 泡沫罐
<hbm:item.ammo_fireext_sand>, 灭火器 硼砂罐
<hbm:item.ammo_folly>, 银弹
<hbm:item.ammo_folly_du>, 银弹[贫铀, 不爆炸]
<hbm:item.ammo_folly_nuclear>, 银弹[核子]
<hbm:item.ammo_fuel>, 柴油罐
<hbm:item.ammo_fuel_gas>, 毒气罐
<hbm:item.ammo_fuel_napalm>, 凝固汽油罐
<hbm:item.ammo_fuel_phosphorus>, 白磷罐
<hbm:item.ammo_fuel_vaporizer>, 汽化罐
<hbm:item.ammo_grenade>, 40mm榴弹
<hbm:item.ammo_grenade_concussion>, 40mm榴弹[震荡]
<hbm:item.ammo_grenade_finned>, 40mm榴弹[尾翼稳定]
<hbm:item.ammo_grenade_he>, 40mm榴弹[HE]
<hbm:item.ammo_grenade_incendiary>, 40mm榴弹[燃烧]
<hbm:item.ammo_grenade_kampf>, 40mm战术榴弹
<hbm:item.ammo_grenade_nuclear>, 40mm榴弹[核子]
<hbm:item.ammo_grenade_phosphorus>, 40mm榴弹[白磷]
<hbm:item.ammo_grenade_sleek>, 40mm榴弹[IF-R&D]
<hbm:item.ammo_grenade_toxic>, 40mm榴弹[化学]
<hbm:item.ammo_grenade_tracer>, 40mm训练榴弹
<hbm:item.ammo_himars>, M28制导炮兵火箭弹舱
<hbm:item.ammo_mirv>, 迷你MIRV
<hbm:item.ammo_mirv_high>, 迷你MIRV (高当量)
<hbm:item.ammo_mirv_low>, 迷你MIRV (低当量)
<hbm:item.ammo_mirv_safe>, 迷你MIRV (安全)
<hbm:item.ammo_mirv_special>, 迷你MIRV
<hbm:item.ammo_nuke>, 迷你核弹
<hbm:item.ammo_nuke_barrel>, 小型核废料桶
<hbm:item.ammo_nuke_high>, 迷你核弹 (高当量)
<hbm:item.ammo_nuke_low>, 迷你核弹 (低当量)
<hbm:item.ammo_nuke_pumpkin>, 南瓜炸弹
<hbm:item.ammo_nuke_safe>, 迷你核弹  (安全)
<hbm:item.ammo_nuke_tots>, 迷你核弹  (幼体)
<hbm:item.ammo_rocket>, 84mm火箭弹
<hbm:item.ammo_rocket_canister>, 84mm 火箭弹[榴霰弹]
<hbm:item.ammo_rocket_digamma>, 归 零
<hbm:item.ammo_rocket_emp>, 84mm火箭弹[EMP]
<hbm:item.ammo_rocket_glare>, 84mm火箭弹[红光]
<hbm:item.ammo_rocket_he>, 84mm火箭弹[HE]
<hbm:item.ammo_rocket_incendiary>, 84mm火箭弹[燃烧]
<hbm:item.ammo_rocket_nuclear>, 84mm火箭弹[核子]
<hbm:item.ammo_rocket_phosphorus>, 84mm火箭弹[白磷]
<hbm:item.ammo_rocket_rpc>, 84mm火箭弹[飞行电锯]
<hbm:item.ammo_rocket_shrapnel>, 84mm火箭弹[破片]
<hbm:item.ammo_rocket_sleek>, 84mm火箭弹[IF-R&D]
<hbm:item.ammo_rocket_toxic>, 84mm火箭弹[化学]
<hbm:item.ammo_shell>, 240mm炮弹
<hbm:item.ammo_shell_apfsds_du>, 240mm 贫铀尾翼稳定脱壳穿甲弹
<hbm:item.ammo_shell_apfsds_t>, 240mm 钨心尾翼稳定脱壳穿甲弹
<hbm:item.ammo_shell_explosive>, 240mm 高爆炮弹
<hbm:item.ammo_shell_w9>, 240mm W9核子炮弹
<hbm:item.ammo_stinger_rocket>, 毒刺导弹
<hbm:item.ammo_stinger_rocket_bones>, 毒刺导弹[寻骨]
<hbm:item.ammo_stinger_rocket_he>, 毒刺导弹[高爆]
<hbm:item.ammo_stinger_rocket_incendiary>, 毒刺导弹[燃烧]
<hbm:item.ammo_stinger_rocket_nuclear>, 毒刺导弹[Привет]
<hbm:item.ams_catalyst_aluminium>, 铝反应催化剂
<hbm:item.ams_catalyst_beryllium>, 铍反应催化剂
<hbm:item.ams_catalyst_blank>, 空白反应催化剂
<hbm:item.ams_catalyst_caesium>, 铯反应催化剂
<hbm:item.ams_catalyst_cerium>, 铈反应催化剂
<hbm:item.ams_catalyst_cobalt>, 钴反应催化剂
<hbm:item.ams_catalyst_copper>, 铜反应催化剂
<hbm:item.ams_catalyst_dineutronium>, 双聚中子态素反应催化剂
<hbm:item.ams_catalyst_euphemium>, Ep反应催化剂
<hbm:item.ams_catalyst_iron>, 铁反应催化剂
<hbm:item.ams_catalyst_lithium>, 锂反应催化剂
<hbm:item.ams_catalyst_niobium>, 铌反应催化剂
<hbm:item.ams_catalyst_schrabidium>, Sa326反应催化剂
<hbm:item.ams_catalyst_strontium>, 锶反应催化剂
<hbm:item.ams_catalyst_thorium>, 钍反应催化剂
<hbm:item.ams_catalyst_tungsten>, 钨反应催化剂
<hbm:item.ams_core_eyeofharmony>, 和谐之眼[AMS/DFC核心]
<hbm:item.ams_core_sing>, 活跃奇点[AMS/DFC核心]
<hbm:item.ams_core_thingy>, Thingy[AMS/DFC核心]
<hbm:item.ams_core_wormhole>, 微型虫洞[AMS/DFC核心]
<hbm:item.ams_focus_blank>, 空白稳定器焦点
<hbm:item.ams_focus_booster>, 较弱的约束场和核心能量注入：$更多的热量产生，更多的能量。
<hbm:item.ams_focus_limiter>, 限制稳定器焦点
<hbm:item.ams_lens>, 稳定透镜
<hbm:item.ams_muzzle>, 激活射线发射极
<hbm:item.anchor_remote>, 召回设备
<hbm:item.antiknock>, 四乙基铅抗爆剂
<hbm:item.apple_euphemium>, Ep苹果
<hbm:item.apple_lead>, 铅苹果
<hbm:item.apple_schrabidium>, Sa326苹果
<hbm:item.arc_electrode>, 石墨电极
<hbm:item.arc_electrode_burnt>, 熔化电极
<hbm:item.arc_electrode_desh>, Desh电极
<hbm:item.armor_polish>, 亮甲牌装甲抛光剂
<hbm:item.asbestos_boots>, 防火靴
<hbm:item.asbestos_cloth>, 防火布
<hbm:item.asbestos_helmet>, 防火头盔
<hbm:item.asbestos_legs>, 防火护腿
<hbm:item.asbestos_plate>, 防火胸甲
<hbm:item.ashglasses>, 防灰烬护目镜
<hbm:item.assembly_556>, 5.56mm子弹[待装配]
<hbm:item.assembly_actionexpress>, .50 AE子弹[待装配]
<hbm:item.assembly_calamity>, .50 BMG子弹[待装配]
<hbm:item.assembly_desh>, Desh子弹[待装配]
<hbm:item.assembly_gold>, 金子弹[待装配]
<hbm:item.assembly_iron>, 铁子弹[待装配]
<hbm:item.assembly_lacunae>, .5mm子弹[待装配]
<hbm:item.assembly_lead>, 玻璃子弹[待装配]
<hbm:item.assembly_nightmare>, 钨子弹[待装配]
<hbm:item.assembly_nopip>, .44马格南[待装配]
<hbm:item.assembly_nuke>, 迷你核弹外壳
<hbm:item.assembly_schrabidium>, Sa326子弹[待装配]
<hbm:item.assembly_smg>, 9mm子弹[待装配]
<hbm:item.assembly_steel>, 铅子弹[待装配]
<hbm:item.assembly_template>, 装配机模板: 核子可乐瓶盖方块
<hbm:item.assembly_uzi>, .22 LR子弹[待装配]
<hbm:item.attachment_mask>, 附加型防毒面具
<hbm:item.attachment_mask_mono>, 可接入式防一氧化碳面罩
<hbm:item.australium_iii>, MkIII寿命延长剂
<hbm:item.b_smoke1>, item.b_smoke1.name
<hbm:item.b_smoke2>, item.b_smoke2.name
<hbm:item.b_smoke3>, item.b_smoke3.name
<hbm:item.b_smoke4>, item.b_smoke4.name
<hbm:item.b_smoke5>, item.b_smoke5.name
<hbm:item.b_smoke6>, item.b_smoke6.name
<hbm:item.b_smoke7>, item.b_smoke7.name
<hbm:item.b_smoke8>, item.b_smoke8.name
<hbm:item.back_tesla>, 背负式特斯拉线圈
<hbm:item.balefire_and_ham>, 火腿野火蛋
<hbm:item.balefire_and_steel>, 野火打火石
<hbm:item.balefire_scrambled>, 炒野火蛋
<hbm:item.ball_dynamite>, 硝糖炸药
<hbm:item.ball_fireclay>, 耐火粘土
<hbm:item.ball_tnt>, TNT炸药
<hbm:item.ballistite>, 混合无烟火药
<hbm:item.bandaid>, 邦迪创可贴
<hbm:item.bathwater>, 有毒肥皂水
<hbm:item.bathwater_mk2>, 有毒肥皂水(马香味)
<hbm:item.battery_advanced>, 高级电池
<hbm:item.battery_advanced_cell>, 高级电池组
<hbm:item.battery_advanced_cell_12>, 十二联高级电池组
<hbm:item.battery_advanced_cell_4>, 四联高级电池组
<hbm:item.battery_creative>, 无限电池
<hbm:item.battery_generic>, 电池
<hbm:item.battery_lithium>, 锂电池
<hbm:item.battery_lithium_cell>, 锂电池组
<hbm:item.battery_lithium_cell_3>, 三联锂电池组
<hbm:item.battery_lithium_cell_6>, 六联锂电池组
<hbm:item.battery_potato>, 马铃薯电池
<hbm:item.battery_potatos>, 马铃薯OS
<hbm:item.battery_red_cell>, 红石电池组
<hbm:item.battery_red_cell_24>, 二十四联红石电池组
<hbm:item.battery_red_cell_6>, 六联红石电池组
<hbm:item.battery_sc_americium>, 自充电 镅-241电池
<hbm:item.battery_sc_gold>, 自充电 金-198电池
<hbm:item.battery_sc_lead>, 自充电 铅-209电池
<hbm:item.battery_sc_plutonium>, 自充电 钚-238电池
<hbm:item.battery_sc_polonium>, 自充电 钋-210电池
<hbm:item.battery_sc_technetium>, 自充电 锝-98电池
<hbm:item.battery_sc_uranium>, 自充电 铀-238电池
<hbm:item.battery_schrabidium>, Sa326电池
<hbm:item.battery_schrabidium_cell>, Sa326电池组
<hbm:item.battery_schrabidium_cell_2>, 双联Sa326电池组
<hbm:item.battery_schrabidium_cell_4>, 四联Sa326电池组
<hbm:item.battery_spark>, Spark电池
<hbm:item.battery_spark_cell_100>, Spark神秘储能电池组
<hbm:item.battery_spark_cell_1000>, Spark神秘物质能量空间
<hbm:item.battery_spark_cell_10000>, Spark时空晶体
<hbm:item.battery_spark_cell_25>, Spark神秘汽车电池
<hbm:item.battery_spark_cell_2500>, Spark神秘迪拉克之海
<hbm:item.battery_spark_cell_6>, Spark电池组
<hbm:item.battery_spark_cell_power>, Spark反物理储能装置
<hbm:item.battery_steam>, 蒸汽动力储能罐
<hbm:item.battery_steam_large>, 大型蒸汽动力储能罐
<hbm:item.battery_su>, SU-电池
<hbm:item.battery_su_l>, 大型SU-电池
<hbm:item.battery_trixite>, 杂牌Spark电池
<hbm:item.beta>, Bata测试版功能
<hbm:item.big_sword>, 大剑
<hbm:item.billet_actinium>, 锕-227坯料
<hbm:item.billet_am241>, 镅-241坯料
<hbm:item.billet_am242>, 镅-242坯料
<hbm:item.billet_am_mix>, 反应堆级镅坯料
<hbm:item.billet_americium_fuel>, 镅燃料坯料
<hbm:item.billet_au198>, 金-198坯料
<hbm:item.billet_australium>, 奥斯坯料
<hbm:item.billet_australium_greater>, 富集奥斯坯料
<hbm:item.billet_australium_lesser>, 贫化奥斯坯料
<hbm:item.billet_balefire_gold>, 激活态金-198坯料
<hbm:item.billet_beryllium>, 铍坯料
<hbm:item.billet_bismuth>, 铋坯料
<hbm:item.billet_co60>, 钴-60坯料
<hbm:item.billet_cobalt>, 钴坯料
<hbm:item.billet_flashlead>, 闪光铅坯料
<hbm:item.billet_gh336>, Gh336坯料
<hbm:item.billet_hes>, 高浓缩度Sa326燃料坯料
<hbm:item.billet_les>, 低浓缩度Sa326燃料坯料
<hbm:item.billet_mox_fuel>, MOX燃料坯料
<hbm:item.billet_neptunium>, 镎坯料
<hbm:item.billet_neptunium_fuel>, 镎核燃料坯料
<hbm:item.billet_nuclear_waste>, 核废料坯料
<hbm:item.billet_pb209>, 铅-209坯料
<hbm:item.billet_plutonium>, 钚坯料
<hbm:item.billet_plutonium_fuel>, 钚燃料坯料
<hbm:item.billet_po210be>, 钋210-铍坯料
<hbm:item.billet_polonium>, 钋坯料
<hbm:item.billet_pu238>, 钚-238坯料
<hbm:item.billet_pu238be>, 钚238-铍坯料
<hbm:item.billet_pu239>, 钚-239坯料
<hbm:item.billet_pu240>, 钚-240坯料
<hbm:item.billet_pu241>, 钚-241坯料
<hbm:item.billet_pu_mix>, 反应堆级钚坯料
<hbm:item.billet_ra226>, 镭-226坯料
<hbm:item.billet_ra226be>, 镭226-铍坯料
<hbm:item.billet_schrabidium>, Sa326坯料
<hbm:item.billet_schrabidium_fuel>, Sa326燃料坯料
<hbm:item.billet_solinium>, Sa327坯料
<hbm:item.billet_sr90>, 锶-90坯料
<hbm:item.billet_technetium>, 锝-99坯料
<hbm:item.billet_th232>, 钍-232坯料
<hbm:item.billet_thorium_fuel>, 钍燃料坯料
<hbm:item.billet_u233>, 铀-233坯料
<hbm:item.billet_u235>, 铀-235坯料
<hbm:item.billet_u238>, 铀-238坯料
<hbm:item.billet_uranium>, 铀坯料
<hbm:item.billet_uranium_fuel>, 铀燃料坯料
<hbm:item.billet_yharonite>, 犽戎龙素坯料
<hbm:item.billet_zfb_am_mix>, 反应器级镅 ZFB坯料
<hbm:item.billet_zfb_bismuth>, 铋 ZFB坯料
<hbm:item.billet_zfb_pu241>, 钚-241 ZFB坯料
<hbm:item.billet_zirconium>, 锆坯料
<hbm:item.bio_wafer>, 海藻晶片
<hbm:item.biomass>, 生物质
<hbm:item.biomass_compressed>, 压缩生物质
<hbm:item.bismuth_boots>, 铋凉鞋
<hbm:item.bismuth_helmet>, 铋头饰
<hbm:item.bismuth_legs>, 铋护膝
<hbm:item.bismuth_pickaxe>, 铋镐
<hbm:item.bismuth_plate>, 铋质护肩、项链和腰带
<hbm:item.bismuth_tool>, 磁力提取器
<hbm:item.bj_boots>, 月神钉靴
<hbm:item.bj_helmet>, 热传感器眼罩
<hbm:item.bj_legs>, 月神护腿
<hbm:item.bj_plate>, 月神胸甲
<hbm:item.bj_plate_jetpack>, 月神胸甲 (带翼)
<hbm:item.black_diamond>, 黑色钻石
<hbm:item.black_hole>, 微型黑洞
<hbm:item.blade_meteorite>, 陨石刀
<hbm:item.blade_titanium>, 钛扇片
<hbm:item.blade_tungsten>, 钨强化扇片
<hbm:item.blades_advanced_alloy>, 高级合金刀片
<hbm:item.blades_aluminium>, 铝制刀片
<hbm:item.blades_combine_steel>, CMB钢刀片
<hbm:item.blades_desh>, Desh制刀片
<hbm:item.blades_gold>, 金制刀片
<hbm:item.blades_iron>, 铁制刀片
<hbm:item.blades_schrabidium>, Sa326刀片
<hbm:item.blades_steel>, 钢制刀片
<hbm:item.blades_titanium>, 钛制刀片
<hbm:item.board_copper>, 铜片
<hbm:item.bob_assembly>, item.bob_assembly.name
<hbm:item.bob_chemistry>, item.bob_chemistry.name
<hbm:item.bob_metalworks>, item.bob_metalworks.name
<hbm:item.bob_nuclear>, item.bob_nuclear.name
<hbm:item.bob_oil>, item.bob_oil.name
<hbm:item.bobmazon_hidden>, 隐藏目录
<hbm:item.bobmazon_machines>, Bobmazon: 方块和机器
<hbm:item.bobmazon_materials>, Bobmazon: 材料
<hbm:item.bobmazon_tools>, Bobmazon: 工具
<hbm:item.bobmazon_weapons>, Bobmazon: 武器和爆炸物
<hbm:item.bolt_compound>, 加强涡轮机轴
<hbm:item.bolt_dura_steel>, 高速钢螺栓
<hbm:item.bolt_tungsten>, 钨螺栓
<hbm:item.bomb_caller>, 空袭指示器
<hbm:item.bomb_waffle>, 大规模杀伤性华夫饼
<hbm:item.book_guide>, HBM指导书
<hbm:item.book_lore>, 测试
<hbm:item.book_of_>, 车厢书
<hbm:item.book_secret>, 3-596-50802-9
<hbm:item.bottle2_empty>, 空瓶
<hbm:item.bottle2_fritz>, 弗里茨可乐
<hbm:item.bottle2_fritz_special>, 第一弗里茨可乐
<hbm:item.bottle2_korl>, Korl
<hbm:item.bottle2_korl_special>, 第一Korl
<hbm:item.bottle2_sunset>, 夕阳沙士
<hbm:item.bottle_cherry>, 樱桃味核子可乐
<hbm:item.bottle_empty>, 空可乐瓶
<hbm:item.bottle_mercury>, 一瓶水银
<hbm:item.bottle_nuka>, 核子可乐
<hbm:item.bottle_opener>, Hbm自制开瓶器
<hbm:item.bottle_quantum>, 量子核子可乐
<hbm:item.bottle_rad>, 辐射S~核子可乐
<hbm:item.bottle_sparkle>, S~核子可乐
<hbm:item.boy_bullet>, 铀-235弹头
<hbm:item.boy_igniter>, 点火器
<hbm:item.boy_kit>, 小男孩 套件
<hbm:item.boy_propellant>, 炸药
<hbm:item.boy_shielding>, 中子屏蔽罩
<hbm:item.boy_target>, 次临界铀-235标靶
<hbm:item.briquette>, Coal Briquette
<hbm:item.bucket_acid>, 一桶酸
<hbm:item.bucket_mud>, 一桶毒泥
<hbm:item.bucket_schrabidic_acid>, 一桶Sa酸
<hbm:item.bucket_sulfuric_acid>, 一桶硫酸
<hbm:item.bucket_toxic>, 一桶绿色软泥
<hbm:item.burnt_bark>, 烧焦树皮
<hbm:item.can_bepis>, 白事
<hbm:item.can_breen>, 布雷恩博士的私人珍藏
<hbm:item.can_creature>, '生物'能量饮料
<hbm:item.can_empty>, 空罐
<hbm:item.can_key>, 罐头拉环
<hbm:item.can_luna>, 黑梅萨露娜-黑可乐
<hbm:item.can_mrsugar>, '糖博士'软饮料
<hbm:item.can_mug>, MUG牌树根啤酒
<hbm:item.can_overcharge>, 超频DeliriumXT
<hbm:item.can_redbomb>, '红色炸弹'能量饮料
<hbm:item.can_smart>, "智慧"能量饮料
<hbm:item.canister_NITAN>, 桶装NITAN 100号超级燃料
<hbm:item.canister_biofuel>, 桶装生物燃料
<hbm:item.canister_bitumen>, 桶装沥青
<hbm:item.canister_canola>, 桶装润滑油
<hbm:item.canister_empty>, 空油桶
<hbm:item.canister_ethanol>, 桶装乙醇
<hbm:item.canister_fracksol>, 桶装压裂液
<hbm:item.canister_fuel>, 桶装柴油
<hbm:item.canister_full>, 容器： 无
<hbm:item.canister_gasoline>, 桶装含铅汽油
<hbm:item.canister_heatingoil>, 桶装燃油
<hbm:item.canister_heavyoil>, 桶装重油
<hbm:item.canister_kerosene>, 桶装煤油
<hbm:item.canister_lightoil>, 桶装轻油
<hbm:item.canister_napalm>, 桶装凝固汽油B
<hbm:item.canister_naphtha>, 桶装石脑油
<hbm:item.canister_oil>, 桶装原油
<hbm:item.canister_petroil>, 桶装汽油
<hbm:item.canister_reoil>, 桶装再生油
<hbm:item.canister_smear>, 桶装工业油
<hbm:item.canned_asbestos>, 石棉罐头
<hbm:item.canned_ass>, 驴罐头
