<block:BiblioCraft:Armor Stand>, 衣架
<block:chisel:stone_snakestone>, 蛇纹石头
<block:chisel:stonebricksmooth>, 石砖
<block:chisel:technical>, 工艺方块
<block:chisel:technical2>, 简易工艺方块
<block:chisel:technical3>, 工业工艺方块
<block:chisel:technical4>, Technical Block
<block:chisel:templeblock>, 神庙石
<block:chisel:tinblock>, 锡块
<block:chisel:torch1>, 火把
<block:chisel:torch10>, 火把
<block:chisel:torch2>, 火把
<block:chisel:torch3>, 火把
<block:chisel:torch4>, 火把
<block:chisel:torch5>, 火把
<block:chisel:torch6>, 火把
<block:chisel:torch7>, 火把
<block:chisel:torch8>, 火把
<block:chisel:torch9>, 火把
<block:chisel:tyrian>, 未来风格金属块
<block:chisel:uraniumblock>, 铀块
<block:chisel:valentines>, 少女心方块
<block:chisel:voidstone>, 虚空石
<block:chisel:voidstone2>, 充能虚空石
<block:chisel:voidstonePillar>, 虚空石柱
<block:chisel:voidstonePillar2>, 充能虚空石柱
<block:chisel:voidstoneRunic>, 符文虚空石
<block:chisel:warningSign>, 警告标志
<block:chisel:waterstone>, 流水石
<block:chisel:woolen_clay>, 羊毛粘土
<block:customnpcs:npcBanner>, 旗帜
<block:customnpcs:npcBarrel>, 桶
<block:customnpcs:npcBeam>, 横梁
<block:customnpcs:npcBigSign>, 大型标识牌
<block:customnpcs:npcBloodBlock>, 血迹
<block:customnpcs:npcBook>, 书
<block:customnpcs:npcBorder>, 结界
<block:customnpcs:npcCampfire>, 篝火
<block:customnpcs:npcCampfireUnlit>, 篝火
<block:customnpcs:npcCandle>, 蜡烛
<block:customnpcs:npcCandleUnlit>, 灯笼
<block:customnpcs:npcCarpentyBench>, 木工台
<block:customnpcs:npcChair>, 椅子
<block:customnpcs:npcCouchWood>, 木质座椅
<block:customnpcs:npcCouchWool>, 棉花座椅
<block:customnpcs:npcCrate>, 板条箱
<block:customnpcs:npcCrystalBlock>, 水晶
<block:customnpcs:npcLamp>, 灯笼
<block:customnpcs:npcLampUnlit>, 蜡烛
<block:customnpcs:npcMailbox>, 信箱
<block:customnpcs:npcPedestal>, 底座
<block:customnpcs:npcPlaceholder>, tile.npcPlaceholder.name
<block:customnpcs:npcRedstoneBlock>, 红石块
<block:customnpcs:npcShelf>, 木架
<block:customnpcs:npcSign>, 标识牌
<block:customnpcs:npcStool>, 凳子
<block:customnpcs:npcTable>, 木质桌子
<block:customnpcs:npcTallLamp>, 立灯
<block:customnpcs:npcTombstone>, 墓碑
<block:customnpcs:npcWallBanner>, 壁挂旗帜
<block:customnpcs:npcWaypoint>, 定点块
<block:customnpcs:npcWeaponRack>, 武器架
<block:ezwastelands:ezwastelandblock>, 荒土
<block:flashlight:light_source>, tile.light_source.name
<block:hbm:tile.#ngtv>, tile.#ngtv.name
<block:hbm:tile.#null>, tile.#null.name
<block:hbm:tile.#undef>, tile.#undef.name
<block:hbm:tile.#void>, tile.#void.name
<block:hbm:tile.absorber>, 辐射吸收器
<block:hbm:tile.absorber_green>, 高级辐射吸收器
<block:hbm:tile.absorber_pink>, 精英辐射吸收器
<block:hbm:tile.absorber_red>, 增强型辐射吸收器
<block:hbm:tile.acid_block>, 酸
<block:hbm:tile.ams_base>, AMS基座 [开发中]
<block:hbm:tile.ams_emitter>, AMS发射极 [开发中]
<block:hbm:tile.ams_limiter>, AMS稳能器 [开发中]
<block:hbm:tile.ancient_scrap>, 古代废金属
<block:hbm:tile.anvil_bismuth>, 铋砧
<block:hbm:tile.anvil_dnt>, 双聚中子态素砧
<block:hbm:tile.anvil_ferrouranium>, 铀-铁合金砧
<block:hbm:tile.anvil_iron>, 铁砧
<block:hbm:tile.anvil_lead>, 铅砧
<block:hbm:tile.anvil_meteorite>, 陨石砧
<block:hbm:tile.anvil_murky>, 暗黑砧
<block:hbm:tile.anvil_osmiridium>, 铱锇合金砧
<block:hbm:tile.anvil_schrabidate>, Sa-铁合金砧
<block:hbm:tile.anvil_starmetal>, 星辉金属砧
<block:hbm:tile.anvil_steel>, 钢砧
<block:hbm:tile.ash_digamma>, 灰烬
<block:hbm:tile.asphalt>, 沥青
<block:hbm:tile.asphalt_light>, 发光沥青
<block:hbm:tile.balefire>, tile.balefire.name
<block:hbm:tile.barbed_wire>, 带刺铁丝网
<block:hbm:tile.barbed_wire_acid>, 腐蚀铁丝网
<block:hbm:tile.barbed_wire_fire>, 烈焰铁丝网
<block:hbm:tile.barbed_wire_poison>, 剧毒铁丝网
<block:hbm:tile.barbed_wire_ultradeath>, 辐射铁丝网
<block:hbm:tile.barbed_wire_wither>, 凋零铁丝网
<block:hbm:tile.barrel_antimatter>, 磁约束反物质容器
<block:hbm:tile.barrel_corroded>, 被腐蚀的桶
<block:hbm:tile.barrel_iron>, 铁桶
<block:hbm:tile.barrel_plastic>, 安全桶
<block:hbm:tile.barrel_steel>, 钢桶
<block:hbm:tile.barrel_tcalloy>, 锝-钢合金桶
<block:hbm:tile.barricade>, 沙袋
<block:hbm:tile.basalt>, 玄武岩
<block:hbm:tile.basalt_asbestos>, 富含石棉的玄武岩
<block:hbm:tile.basalt_brick>, 玄武岩砖
<block:hbm:tile.basalt_fluorite>, 富含氟石的玄武岩
<block:hbm:tile.basalt_gem>, 富含宝石的玄武岩
<block:hbm:tile.basalt_polished>, 抛光玄武岩
<block:hbm:tile.basalt_smooth>, 平滑玄武岩
<block:hbm:tile.basalt_sulfur>, 富含硫的玄武岩
<block:hbm:tile.basalt_tiles>, 玄武岩砖
<block:hbm:tile.blast_door>, 防爆闸门
<block:hbm:tile.block_actinium>, 锕块
<block:hbm:tile.block_advanced_alloy>, 高级合金块
<block:hbm:tile.block_aluminium>, 铝块
<block:hbm:tile.block_asbestos>, 石棉块
<block:hbm:tile.block_australium>, 奥斯块
<block:hbm:tile.block_bakelite>, 电木块
<block:hbm:tile.block_beryllium>, 铍块
<block:hbm:tile.block_bismuth>, 铋块
<block:hbm:tile.block_boron>, 硼块
<block:hbm:tile.block_c4>, C-4块
<block:hbm:tile.block_cap_fritz>, 弗里茨瓶盖方块
<block:hbm:tile.block_cap_korl>, Korl瓶盖方块
<block:hbm:tile.block_cap_nuka>, 核子可乐瓶盖方块
<block:hbm:tile.block_cap_quantum>, 樱桃味核子可乐瓶盖方块
<block:hbm:tile.block_cap_rad>, 辐射 S~核子可乐瓶盖方块
<block:hbm:tile.block_cap_sparkle>, 核子可乐瓶盖方块
<block:hbm:tile.block_cap_star>, 夕阳沙士星星瓶盖方块
<block:hbm:tile.block_cap_sunset>, 夕阳沙士瓶盖方块
<block:hbm:tile.block_cobalt>, 钴块
<block:hbm:tile.block_coltan>, 钽块
<block:hbm:tile.block_combine_steel>, CMB钢块
<block:hbm:tile.block_copper>, 铜块
<block:hbm:tile.block_corium>, 熔融堆芯冷凝物
<block:hbm:tile.block_corium_cobble>,  熔融物凝固石
<block:hbm:tile.block_daffergon>, 达夫贡块
<block:hbm:tile.block_desh>, Desh块
<block:hbm:tile.block_dineutronium>, 双聚中子态素块
<block:hbm:tile.block_dura_steel>, 强化高速钢块
<block:hbm:tile.block_electrical_scrap>, 电子废料块
<block:hbm:tile.block_euphemium>, Ep块
<block:hbm:tile.block_euphemium_cluster>, Ep刻蚀Sa326团
<block:hbm:tile.block_fallout>, 辐射尘块
<block:hbm:tile.block_fiberglass>, 玻璃纤维卷
<block:hbm:tile.block_fluorite>, 氟石块
<block:hbm:tile.block_foam>, 泡沫
<block:hbm:tile.block_graphite>, 石墨块
<block:hbm:tile.block_graphite_detector>, 反应堆中子探测棒
<block:hbm:tile.block_graphite_drilled>, 钻孔石墨
<block:hbm:tile.block_graphite_fuel>, 反应堆燃料
<block:hbm:tile.block_graphite_lithium>, 反应堆锂燃料
<block:hbm:tile.block_graphite_plutonium>, 反应堆燃料（增殖）
<block:hbm:tile.block_graphite_rod>, 反应堆控制棒
<block:hbm:tile.block_graphite_source>, 反应堆中子源
<block:hbm:tile.block_graphite_tritium>, 反应堆锂燃料（增殖）
<block:hbm:tile.block_insulator>, 绝缘卷
<block:hbm:tile.block_lanthanium>, 镧块
<block:hbm:tile.block_lead>, 铅块
<block:hbm:tile.block_lithium>, 锂块
<block:hbm:tile.block_magnetized_tungsten>, 磁化钨块
<block:hbm:tile.block_meteor>, 陨石块
<block:hbm:tile.block_meteor_broken>, 破碎的陨石块
<block:hbm:tile.block_meteor_cobble>, 陨石
<block:hbm:tile.block_meteor_molten>, 高温陨石
<block:hbm:tile.block_meteor_treasure>, 宝藏陨石块
<block:hbm:tile.block_mox_fuel>, MOX燃料块
<block:hbm:tile.block_neptunium>, 镎块
<block:hbm:tile.block_niobium>, 铌块
<block:hbm:tile.block_niter>, 硝石块
<block:hbm:tile.block_niter_reinforced>, 硝石加固块
<block:hbm:tile.block_plutonium>, 钚块
<block:hbm:tile.block_plutonium_fuel>, 钚燃料块
<block:hbm:tile.block_polonium>, 钋块
<block:hbm:tile.block_polymer>, 聚合物块
<block:hbm:tile.block_pu238>, 钚-238块
<block:hbm:tile.block_pu239>, 钚-239块
<block:hbm:tile.block_pu240>, 钚-240块
<block:hbm:tile.block_pu_mix>, 反应堆级钚块
<block:hbm:tile.block_ra226>, 镭-226块
<block:hbm:tile.block_red_copper>, 紫铜块
<block:hbm:tile.block_red_phosphorus>, 红磷块
<block:hbm:tile.block_reiium>, 雷恩块
<block:hbm:tile.block_rubber>, 橡胶块
<block:hbm:tile.block_schrabidate>, Sa酸铁块
<block:hbm:tile.block_schrabidium>, Sa326块
<block:hbm:tile.block_schrabidium_cluster>, Sa326团
<block:hbm:tile.block_schrabidium_fuel>, Sa326燃料块
<block:hbm:tile.block_schraranium>, 低丰度Sa326块
<block:hbm:tile.block_scrap>, 废品块
<block:hbm:tile.block_semtex>, 塞姆汀块
<block:hbm:tile.block_slag>, 矿渣块
<block:hbm:tile.block_smore>, S'more块
<block:hbm:tile.block_solinium>, Sa327块
<block:hbm:tile.block_starmetal>, 星辉块
<block:hbm:tile.block_steel>, 钢块
<block:hbm:tile.block_sulfur>, 硫磺块
<block:hbm:tile.block_tantalium>, 钽块
<block:hbm:tile.block_thorium>, 钍块
<block:hbm:tile.block_thorium_fuel>, 钍燃料块
<block:hbm:tile.block_titanium>, 钛块
<block:hbm:tile.block_trinitite>, 玻璃石块
<block:hbm:tile.block_tritium>, 氚单元块
<block:hbm:tile.block_tungsten>, 钨块
<block:hbm:tile.block_u233>, 铀-233块
<block:hbm:tile.block_u235>, 铀-235块
<block:hbm:tile.block_u238>, 铀-238块
<block:hbm:tile.block_unobtainium>, 难得素块
<block:hbm:tile.block_uranium>, 铀块
<block:hbm:tile.block_uranium_fuel>, 铀燃料块
<block:hbm:tile.block_verticium>, 韦德赛块
<block:hbm:tile.block_waste>, 核废料块
<block:hbm:tile.block_waste_painted>, 带标志的核废料块
<block:hbm:tile.block_waste_vitrified>, 玻璃化核废料块
<block:hbm:tile.block_weidanium>, 魏丹块
<block:hbm:tile.block_white_phosphorus>, 白磷块
<block:hbm:tile.block_yellowcake>, 黄饼块
<block:hbm:tile.block_zirconium>, 锆块
<block:hbm:tile.boat>, 船
<block:hbm:tile.bobblehead>, Bob的魔法娃娃
<block:hbm:tile.bomb_multi>, 多功能炸弹
<block:hbm:tile.bomber>, 坠毁轰炸机
<block:hbm:tile.book_guide>, HBM的核科技mod手册[遗留]
<block:hbm:tile.boxcar>, 车厢
<block:hbm:tile.brick_asbestos>, 石棉砖块
<block:hbm:tile.brick_asbestos_stairs>, 石棉砖楼梯
<block:hbm:tile.brick_compound>, 复合网格砖块
<block:hbm:tile.brick_compound_stairs>, 复合网格楼梯
<block:hbm:tile.brick_concrete>, 混凝土砖块
<block:hbm:tile.brick_concrete_broken>, 破碎混凝土砖块
<block:hbm:tile.brick_concrete_broken_stairs>, 破碎的混凝土砖楼梯
<block:hbm:tile.brick_concrete_cracked>, 开裂混凝土砖块
<block:hbm:tile.brick_concrete_cracked_stairs>, 开裂混凝土砖楼梯
<block:hbm:tile.brick_concrete_marked>, 标记混凝土砖
<block:hbm:tile.brick_concrete_mossy>, 苔混凝土砖块
<block:hbm:tile.brick_concrete_mossy_stairs>, 苔藓混凝土砖楼梯
<block:hbm:tile.brick_concrete_stairs>, 混凝土砖楼梯
<block:hbm:tile.brick_double_slab>, tile.brick_double_slab.name
<block:hbm:tile.brick_ducrete>, 高密度贫铀混凝土砖块
<block:hbm:tile.brick_ducrete_stairs>, 高密度贫铀混凝土砖楼梯
<block:hbm:tile.brick_dungeon>, 硒铜砖
<block:hbm:tile.brick_dungeon_circle>, 圆环硒铜块
<block:hbm:tile.brick_dungeon_flat>, 硒铜块
<block:hbm:tile.brick_dungeon_tile>, 硒铜瓦
<block:hbm:tile.brick_fire>, 耐火砖块
<block:hbm:tile.brick_fire_stairs>, 耐火砖楼梯
<block:hbm:tile.brick_forgotten>, tile.brick_forgotten.name
<block:hbm:tile.brick_jungle>, 硫砷钢砖块
<block:hbm:tile.brick_jungle_circle>, 机械师之环
<block:hbm:tile.brick_jungle_cracked>, 开裂硫砷钢砖块
<block:hbm:tile.brick_jungle_fragile>, 粉碎硫砷钢砖块
<block:hbm:tile.brick_jungle_glyph>, 硫砷钢石雕砖块
<block:hbm:tile.brick_jungle_lava>, 岩浆硫砷钢砖块
<block:hbm:tile.brick_jungle_mystic>, 奥术硫砷钢砖块
<block:hbm:tile.brick_jungle_ooze>, 放射硫砷钢砖块
<block:hbm:tile.brick_jungle_trap>, 陷阱硫砷钢砖块
<block:hbm:tile.brick_light>, 轻质砖块
<block:hbm:tile.brick_light_stairs>, 轻质砖楼梯
<block:hbm:tile.brick_obsidian>, 黑曜石砖块
<block:hbm:tile.brick_obsidian_stairs>, 黑曜石砖楼梯
<block:hbm:tile.brick_slab>, tile.brick_slab.name
<block:hbm:tile.broadcaster_pc>, 腐败广播
<block:hbm:tile.burning_earth>, 燃烧草地
<block:hbm:tile.c4>, C-4
<block:hbm:tile.cable_detector>, 红石电源开关
<block:hbm:tile.cable_diode>, 紫铜二极管
<block:hbm:tile.cable_switch>, 电源开关
<block:hbm:tile.charge_c4>, 炸药包
<block:hbm:tile.charge_dynamite>, 定时炸弹
<block:hbm:tile.charge_miner>, 定时采矿炸药
<block:hbm:tile.charge_semtex>, Semtex采矿炸药
<block:hbm:tile.charger>, 充电站
<block:hbm:tile.cheater_virus>, 冻结Ep
<block:hbm:tile.cheater_virus_seed>, 不稳定Ep Schrabide块
<block:hbm:tile.chlorine_gas>, 氯气
<block:hbm:tile.cluster_aluminium>, 铝矿簇
<block:hbm:tile.cluster_copper>, 铜矿簇
<block:hbm:tile.cluster_depth_iron>, 深层铁矿簇
<block:hbm:tile.cluster_depth_titanium>, 深层钛矿簇
<block:hbm:tile.cluster_depth_tungsten>, 深层钨矿簇
<block:hbm:tile.cluster_iron>, 铁矿簇
<block:hbm:tile.cluster_titanium>, 钛矿簇
<block:hbm:tile.cmb_brick>, CMB钢瓦块
<block:hbm:tile.cmb_brick_reinforced>, 加固CMB钢砖块
<block:hbm:tile.compact_launcher>, 紧凑型发射台
<block:hbm:tile.concrete>, 混凝土瓦块
<block:hbm:tile.concrete_asbestos>, 黑色混凝土
<block:hbm:tile.concrete_asbestos_stairs>, 石棉混凝土楼梯
<block:hbm:tile.concrete_brick_double_slab>, tile.concrete_brick_double_slab.name
<block:hbm:tile.concrete_brick_slab>, tile.concrete_brick_slab.name
<block:hbm:tile.concrete_colored>, tile.concrete_colored.name
<block:hbm:tile.concrete_double_slab>, tile.concrete_double_slab.name
<block:hbm:tile.concrete_pillar>, 钢筋混凝土柱
<block:hbm:tile.concrete_slab>, tile.concrete_slab.name
<block:hbm:tile.concrete_smooth>, 混凝土
<block:hbm:tile.concrete_smooth_stairs>, 混凝土楼梯
<block:hbm:tile.concrete_stairs>, 混凝土瓷砖楼梯
<block:hbm:tile.concrete_super>, über混凝土
<block:hbm:tile.concrete_super_broken>, 发霉的碎片
<block:hbm:tile.conveyor>, 输送带
<block:hbm:tile.conveyor_chute>, 输送带滑槽
<block:hbm:tile.conveyor_double>, 双轨道输送带
<block:hbm:tile.conveyor_lift>, 垂直输送带
<block:hbm:tile.conveyor_triple>, 三轨道输送带
<block:hbm:tile.corium_block>, 堆芯熔融物
<block:hbm:tile.crane_boxer>, 输送带打包机
<block:hbm:tile.crane_extractor>, 输送带提取器
<block:hbm:tile.crane_inserter>, 输送带导入器
<block:hbm:tile.crane_router>, 输送带分拣机
<block:hbm:tile.crane_unboxer>, 输送带解包机
<block:hbm:tile.crashed_bomb>, 哑弹
<block:hbm:tile.crate>, 补给箱
<block:hbm:tile.crate_ammo>, 星辉补给箱
<block:hbm:tile.crate_can>, 罐头补给箱
<block:hbm:tile.crate_desh>, Desh板条箱
<block:hbm:tile.crate_iron>, 铁箱
<block:hbm:tile.crate_jungle>, 硫砷钢箱
<block:hbm:tile.crate_lead>, 危险品补给箱
<block:hbm:tile.crate_metal>, 机器补给箱
<block:hbm:tile.crate_red>, 红色补给箱
<block:hbm:tile.crate_steel>, 钢箱
<block:hbm:tile.crate_tungsten>, 钨箱
<block:hbm:tile.crate_weapon>, 武器补给箱
<block:hbm:tile.crystal_energy>, tile.crystal_energy.name
<block:hbm:tile.crystal_hardened>, 硬化黑水晶
<block:hbm:tile.crystal_power>, tile.crystal_power.name
<block:hbm:tile.crystal_pulsar>, 脉动水晶
<block:hbm:tile.crystal_robust>, tile.crystal_robust.name
<block:hbm:tile.crystal_trixite>, tile.crystal_trixite.name
<block:hbm:tile.crystal_virus>, 黑水晶
<block:hbm:tile.deco_aluminium>, 铝装饰块
<block:hbm:tile.deco_asbestos>, 石棉瓦
<block:hbm:tile.deco_beryllium>, 铍装饰块
<block:hbm:tile.deco_computer>, tile.deco_computer.name
<block:hbm:tile.deco_emitter>, Deco发光体
<block:hbm:tile.deco_lead>, 铅装饰块
<block:hbm:tile.deco_loot>, tile.deco_loot.name
<block:hbm:tile.deco_pipe>, 钢制管道
<block:hbm:tile.deco_pipe_framed>, 钢制管道 (镶框)
<block:hbm:tile.deco_pipe_framed_green>, 绿色钢制管道 (镶框)
<block:hbm:tile.deco_pipe_framed_green_rusted>, 生锈的绿色钢制管道 (镶框)
<block:hbm:tile.deco_pipe_framed_marked>, 气体管道 (镶框)
<block:hbm:tile.deco_pipe_framed_red>, 红色钢制管道 (镶框)
<block:hbm:tile.deco_pipe_framed_rusted>, 生锈的钢制管道 (镶框)
<block:hbm:tile.deco_pipe_green>, 绿色钢制管道
<block:hbm:tile.deco_pipe_green_rusted>, 生锈的绿色钢制管道
<block:hbm:tile.deco_pipe_marked>, 气体管道
<block:hbm:tile.deco_pipe_quad>, 钢制管道束
<block:hbm:tile.deco_pipe_quad_green>, 绿色钢制管道束
<block:hbm:tile.deco_pipe_quad_green_rusted>, 生锈的绿色钢制管道束
<block:hbm:tile.deco_pipe_quad_marked>, 气体管道束
<block:hbm:tile.deco_pipe_quad_red>, 红色钢制管道束
<block:hbm:tile.deco_pipe_quad_rusted>, 生锈的钢制管道束
<block:hbm:tile.deco_pipe_red>, 红色钢制管道
<block:hbm:tile.deco_pipe_rim>, 钢制管道 (镶边)
<block:hbm:tile.deco_pipe_rim_green>, 绿色钢制管道 (镶边)
<block:hbm:tile.deco_pipe_rim_green_rusted>, 生锈的绿色钢制管道 (镶边)
<block:hbm:tile.deco_pipe_rim_marked>, 气体管道 (镶边)
<block:hbm:tile.deco_pipe_rim_red>, 红色钢制管道 (镶边)
<block:hbm:tile.deco_pipe_rim_rusted>, 生锈的钢制管道 (镶边)
<block:hbm:tile.deco_pipe_rusted>, 生锈的钢制管道
<block:hbm:tile.deco_rbmk>, RBMK装饰块
<block:hbm:tile.deco_rbmk_smooth>, 平滑RBMK装饰块
<block:hbm:tile.deco_red_copper>, 紫铜装饰块
<block:hbm:tile.deco_steel>, 钢装饰块
<block:hbm:tile.deco_titanium>, 钛装饰块
<block:hbm:tile.deco_tungsten>, 钨装饰块
<block:hbm:tile.decon>, 玩家去污器
<block:hbm:tile.depth_brick>, 深层岩石砖
<block:hbm:tile.depth_dnt>, DNT加固深层岩石砖
<block:hbm:tile.depth_nether_brick>, 下界深层岩石砖
<block:hbm:tile.depth_nether_tiles>, 下界深层岩石瓷砖
<block:hbm:tile.depth_tiles>, 深层岩石瓷砖
<block:hbm:tile.det_charge>, 炸药
<block:hbm:tile.det_cord>, 炸药引信
<block:hbm:tile.det_miner>, 采矿炸药
<block:hbm:tile.det_nuke>, 核炸药
<block:hbm:tile.dfc_core>, 暗核聚变堆核心
<block:hbm:tile.dfc_emitter>, DFC发射器
<block:hbm:tile.dfc_injector>, DFC燃料喷射器
<block:hbm:tile.dfc_receiver>, DFC接收器
<block:hbm:tile.dfc_stabilizer>, DFC稳定器
<block:hbm:tile.digamma_matter>, tile.digamma_matter.name
<block:hbm:tile.dirt_dead>, 泥渣
<block:hbm:tile.dirt_oily>, 油泥
<block:hbm:tile.door_bunker>, tile.door_bunker.name
<block:hbm:tile.door_metal>, tile.door_metal.name
<block:hbm:tile.door_office>, tile.door_office.name
<block:hbm:tile.drill_pipe>, 钻杆
<block:hbm:tile.ducrete>, 高密度贫铀混凝土瓷砖
<block:hbm:tile.ducrete_smooth>, 高密度贫铀混凝土
<block:hbm:tile.ducrete_smooth_stairs>, 高密度贫铀混凝土楼梯
<block:hbm:tile.ducrete_stairs>, 高密度贫铀混凝土瓷砖楼梯
<block:hbm:tile.dummy_block_ams_base>, tile.dummy_block_ams_base.name
<block:hbm:tile.dummy_block_ams_emitter>, tile.dummy_block_ams_emitter.name
<block:hbm:tile.dummy_block_ams_limiter>, tile.dummy_block_ams_limiter.name
<block:hbm:tile.dummy_block_assembler>, tile.dummy_block_assembler.name
<block:hbm:tile.dummy_block_blast>, tile.dummy_block_blast.name
<block:hbm:tile.dummy_block_drill>, tile.dummy_block_drill.name
<block:hbm:tile.dummy_block_fluidtank>, tile.dummy_block_fluidtank.name
<block:hbm:tile.dummy_block_puf6>, tile.dummy_block_puf6.name
<block:hbm:tile.dummy_block_refinery>, tile.dummy_block_refinery.name
<block:hbm:tile.dummy_block_turbofan>, tile.dummy_block_turbofan.name
<block:hbm:tile.dummy_block_uf6>, tile.dummy_block_uf6.name
<block:hbm:tile.dummy_block_vault>, tile.dummy_block_vault.name
<block:hbm:tile.dummy_plate_cargo>, tile.dummy_plate_cargo.name
<block:hbm:tile.dummy_plate_compact_launcher>, tile.dummy_plate_compact_launcher.name
<block:hbm:tile.dummy_plate_launch_table>, tile.dummy_plate_launch_table.name
<block:hbm:tile.dummy_port_ams_base>, tile.dummy_port_ams_base.name
<block:hbm:tile.dummy_port_ams_emitter>, tile.dummy_port_ams_emitter.name
<block:hbm:tile.dummy_port_ams_limiter>, tile.dummy_port_ams_limiter.name
<block:hbm:tile.dummy_port_assembler>, tile.dummy_port_assembler.name
<block:hbm:tile.dummy_port_compact_launcher>, tile.dummy_port_compact_launcher.name
<block:hbm:tile.dummy_port_drill>, tile.dummy_port_drill.name
<block:hbm:tile.dummy_port_fluidtank>, tile.dummy_port_fluidtank.name
<block:hbm:tile.dummy_port_launch_table>, tile.dummy_port_launch_table.name
<block:hbm:tile.dummy_port_refinery>, tile.dummy_port_refinery.name
<block:hbm:tile.dummy_port_turbofan>, tile.dummy_port_turbofan.name
<block:hbm:tile.dungeon_chain>, 金属链
<block:hbm:tile.dynamite>, 炸药
<block:hbm:tile.emp_bomb>, EMP炸弹
<block:hbm:tile.event_tester>, tile.event_tester.name
<block:hbm:tile.factory_advanced_hull>, 高级工厂外壳
<block:hbm:tile.factory_titanium_hull>, 工厂外壳
<block:hbm:tile.fallout>, 辐射尘
<block:hbm:tile.fence_metal>, 铁丝网围栏
<block:hbm:tile.ff>, tile.ff.name
<block:hbm:tile.field_disturber>, 高能场干扰机
<block:hbm:tile.filing_cabinet>, tile.filing_cabinet.name
<block:hbm:tile.fire_digamma>, 挥之不去的迪伽马之火
<block:hbm:tile.fire_door>, 防火门
<block:hbm:tile.fireworks>, 烟花箱
<block:hbm:tile.flame_war>, 盒中论战
<block:hbm:tile.float_bomb>, 悬浮炸弹
<block:hbm:tile.fluid_duct>, 通用流体管道
<block:hbm:tile.fluid_duct_box>, 通用流体管道（方形）
<block:hbm:tile.fluid_duct_gauge>, Flow Gauge Pipe
<block:hbm:tile.fluid_duct_neo>, 通用流体管道
<block:hbm:tile.fluid_duct_paintable>, Paintable Coated Universal Fluid Duct
<block:hbm:tile.fluid_duct_solid>, 带涂层的通用流体导管
<block:hbm:tile.foam_layer>, 泡沫层
<block:hbm:tile.foundry_basin>, 铸造水池
<block:hbm:tile.foundry_channel>, 铸造浇道
<block:hbm:tile.foundry_mold>, 浅铸造池
<block:hbm:tile.foundry_outlet>, 铸造出口
<block:hbm:tile.foundry_tank>, 铸造池
<block:hbm:tile.fraction_spacer>, 分馏塔分隔器
<block:hbm:tile.frozen_dirt>, 冰冻土
<block:hbm:tile.frozen_grass>, 冰冻草
<block:hbm:tile.frozen_log>, 冰冻原木
<block:hbm:tile.frozen_planks>, 冰冻木板
<block:hbm:tile.furnace_combination>, Combination Oven
<block:hbm:tile.furnace_iron>, 铁炉
<block:hbm:tile.furnace_steel>, 钢炉
<block:hbm:tile.fusion_center>, 中心磁铁
<block:hbm:tile.fusion_conductor>, 超导磁体
<block:hbm:tile.fusion_hatch>, 聚变反应堆端口
<block:hbm:tile.fusion_heater>, 等离子加热器
<block:hbm:tile.fusion_motor>, 磁体马达
<block:hbm:tile.fwatz_computer>, Watz聚变反应堆计算矩阵
<block:hbm:tile.fwatz_conductor>, 4000K超导磁体
<block:hbm:tile.fwatz_cooler>, 冷却液罐壳
<block:hbm:tile.fwatz_core>, Watz聚变反应堆控制器
<block:hbm:tile.fwatz_hatch>, Watz聚变反应堆端口
<block:hbm:tile.fwatz_plasma>, 不稳定反Sa326等离子体
<block:hbm:tile.fwatz_scaffold>, Watz聚变反应堆结构支架
<block:hbm:tile.fwatz_tank>, 冷却液罐
<block:hbm:tile.gas_asbestos>, 石棉粉尘
<block:hbm:tile.gas_coal>, 空气中的煤尘
<block:hbm:tile.gas_duct>, 输气管道
<block:hbm:tile.gas_duct_solid>, 密封输气管
<block:hbm:tile.gas_explosive>, 爆炸性气体
<block:hbm:tile.gas_flammable>, 可燃气体
<block:hbm:tile.gas_meltdown>, 熔毁气体
<block:hbm:tile.gas_monoxide>, 一氧化碳
<block:hbm:tile.gas_radon>, 氡气
<block:hbm:tile.gas_radon_dense>, 高浓度氡气
<block:hbm:tile.gas_radon_tomb>, 古墓气体
<block:hbm:tile.geiger>, 盖革计数器
<block:hbm:tile.geysir_chlorine>, tile.geysir_chlorine.name
<block:hbm:tile.geysir_nether>, tile.geysir_nether.name
<block:hbm:tile.geysir_vapor>, tile.geysir_vapor.name
<block:hbm:tile.geysir_water>, tile.geysir_water.name
<block:hbm:tile.glass_ash>, 灰烬玻璃
<block:hbm:tile.glass_boron>, 硼玻璃
<block:hbm:tile.glass_lead>, 铅玻璃
<block:hbm:tile.glass_polonium>, 钋玻璃
<block:hbm:tile.glass_quartz>, 石英玻璃
<block:hbm:tile.glass_trinitite>, 核融玻璃
<block:hbm:tile.glass_uranium>, 铀玻璃
<block:hbm:tile.gneiss_brick>, 页岩砖
<block:hbm:tile.gneiss_chiseled>, 錾制页岩砖
<block:hbm:tile.gneiss_tile>, 页岩瓷砖
<block:hbm:tile.gravel_diamond>, 钻石砂砾
<block:hbm:tile.gravel_obsidian>, 碎黑曜石
<block:hbm:tile.hadron_access>, 粒子加速器接入终端
<block:hbm:tile.hadron_analysis>, 粒子加速器分析室壁
<block:hbm:tile.hadron_analysis_glass>, 粒子加速器分析室窗口
<block:hbm:tile.hadron_coil_alloy>, 密集超导线圈
